title,uri,description,listing_id,industry,location,source,date,image,permanent_id
Allan G Hill & Partners,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JfuHIAS,"... registered auditors that look after all types of small and medium sized businesses (hobbyists, sole traders, partnerships, LLP’s and companies) throughout the United Kingdom and overseas.",8be26ec3-fffe-44c7-bdc2-636f6a575909,,,SalesforcePublic,1.77268E+12,https://www.xero.com/pi/1313ec2f-aa6a-4827-8511-794d21e9754a.png,d126d3c7c3dffb6204bdbde88f5eb16e2e2f7d14
Moore Accountancy,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jg3gIAC,Moore Accountancy is a firm of Chartered Accountants in South Manchester who provide ... Our clients are many and varied and they operate mainly in the United Kingdom.,3af9297b-d3f8-410a-ac1a-b4a476835df2,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/1a83af96-6c30-4f77-b7bf-76e1f452d189-1504048649,cd90c00e57a1026094def20e9930c7785988f2d5
A J Carter & Co,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JggvIAC,"However, we have a significant number of clients around the United Kingdom who have largely come to us through personal recommendation.",1e6dc0d5-d2cb-44bb-bbcc-561fb59577ce,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/5a4f01ac-d600-4ad2-81c3-cf3e99f11ed6-1530872293,3e29a122a0354f41b1fd9a77de901a8f1650e15e
Rouse Partners LLP,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jh5ZIAS,Details coming soon,496af2f9-de4a-475c-a3c7-05b0fe1801b5,,,SalesforcePublic,1.77556E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/8eccc6e8-00ae-4550-aac8-b007a7ff4902-1492612224,2d3ce34be070347de37cd4c95edd83d6ad551cb0
Gerald Thomas,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jf8tIAC,Gerald Thomas are an established firm of United Kingdom Chartered Accountants and Business Advisers based in Swansea servicing clients throughout the whole of South Wales.,dbb90a21-600b-4b5e-842c-86c02194087c,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/54529e20-708e-4be1-8afb-3a57035f7669-1538732189,987a8ec00c3b6bccf0f21efded0083ef40b96bfd
AccounTax Zone Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JfCZIA0,We offer a comprehensive virtual finance function tailored specifically to meet the unique needs of small and medium sized business owners in the United Kingdom.,1d582c3c-2b8c-41a8-aa6e-e7656dcc2b84,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/826c95cd-86c2-4ec2-a405-ed102f1cda42-1696857089,09bdb65e6dced18923400a7d83200227a53fd316
BTMR Limited,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JhxFIAS,If you're looking for an international firm of accountants with offices throughout ... Our clients are many and varied and they operate throughout the United Kingdom.,1f85ef10-4640-4fde-ad30-c9699941c306,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/e1d11f07-e9ab-4758-95ae-b8ee17d4ef43-1501581469,626ae150455cfff0a5d766fbc2c28d119414b243
avatcode,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000DYwjIAG,Exclusive tax and accounting services for advocates at the Scottish bar.,2f435f22-1a13-4826-82ab-cc196fbe782f,,,SalesforcePublic,1.77549E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/5514995d-54ad-4cf4-9de1-ec6e33f62def-1693999324,4b0ca4b77541cde555729fed8724e891002d4e12
Hackett Griffey LLP,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000Jh3NIAS,We are registered as auditors and regulated for a range of investment business activities in the United Kingdom by the Association of Chartered Certified Accountants (ACCA).,2113dfc7-00a9-4307-8fed-62c60f6feb15,,,SalesforcePublic,1.77268E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/12779bf0-3a6b-4724-ab3a-9dc0bfbce3d1-1554388681,ea64c2f9dde4a127d5e137b96505d60e00d6e408
Unity Accountancy,http://www.salesforce.com/org:organization/object:Advisor_Directory__c/record:a84Uv000000JTkfIAG,"Unity Accountancy Llanelli provides a wide range of accountancy services including tax returns, annual accounts, payroll and bookkeeping.",76cb6fa5-7dc4-4844-b58c-69f443d2165a,,,SalesforcePublic,1.77556E+12,https://s3.amazonaws.com/xero-prac-prod-practice-advisor-directory-images/abe447a2-0258-49c7-9c3d-91a34450211c-1746570817,39b016b37d9e15d17149ea636ab10b5eeb0a2acf
