place_id,google_name,address,google_rating,review_count,latitude,longitude,types,search_postcode
ChIJyajFsL2xe0gRFuxOlWKVLyM,MWA Accounting,"1b, Blackfriars House, Parsonage, Manchester M3 2JA, UK",5.0,65,53.483542,-2.2475184,"accounting, establishment, finance, point_of_interest",M9 8FS
ChIJh0O4SNaze0gR5llzWu5Z-vg,Amin & Co Accountants,"Studio 3, Longsight Business Park, 69 Hamilton Rd, Longsight, Manchester M13 0PD, UK",5.0,70,53.4552515,-2.2011952,"accounting, establishment, finance, point_of_interest",M14 4UX
ChIJxSOyZ9Cxe0gRx6DU9Obn6jg,Accounting Solutions Manchester,"5 Piccadilly Pl, Manchester M1 3BP, UK",5.0,37,53.4771405,-2.2336106,"accounting, establishment, finance, point_of_interest",M14 4UX
ChIJKQ3Lrkqxe0gReNbLgCK-HPQ,UHY Williamson & Croft,"York House, 20 York St, Manchester M2 3BB, UK",4.8,19,53.480427,-2.240644,"accounting, establishment, finance, point_of_interest",M14 4UX
ChIJkZ9n2gWte0gRRZR48454sTc,Parker Whitwood Limited,"139 Manchester Rd, Altrincham WA14 5NS, UK",4.9,36,53.3989433,-2.3526162,"accounting, establishment, finance, point_of_interest",M14 4UX
ChIJdbdDqZkItWcRa9aRTXXXCGw,PACT ACCOUNTANCY LTD,"Peter House, Oxford St, Manchester M1 5AN, UK",5.0,15,53.4770585,-2.2439517,"accounting, establishment, finance, point_of_interest",M2 3BD
ChIJCwwK77-xe0gRAJZ08L1sjSg,GLA Chartered Accountants,"3, universal square, Devonshire St N, Manchester M12 6JH, UK",5.0,16,53.47094629999999,-2.2146,"accounting, establishment, finance, point_of_interest",M12 6JH
ChIJsZ6thV6le0gRD8T_n_yVXGk,Cloud Accountancy (Whitefield) Ltd,"151 Bury New Rd, Whitefield, Manchester M45 6AA, UK",5.0,15,53.5459828,-2.2922363,"accounting, establishment, finance, point_of_interest",M45 8QP
ChIJyyoBCBuye0gRjbT3lLtW7yA,CLEARCUT ACCOUNTING,"Clearcut Accounting, Parkway Five, Princess Rd, Manchester M14 7HR, UK",5.0,11,53.4485579,-2.2456779,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJL0h7zH63e0gRpxCgHwrJABA,Morgan Menzies Ltd,"Parkway 5, Princess Rd, Manchester M14 7HR, UK",4.1,13,53.4485452,-2.2453043,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJERMkX1Ste0gR9Zjy2M9NXnk,Accountology - Accountants,"189 Great Western St, Manchester M14 4LN, UK",5.0,36,53.4563967,-2.23736,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJ2yvygmWye0gRu5sbtvmpd6w,MK Accountancy Ltd,"Suite 3.17, universal square, Devonshire St, Manchester M12 6JH, UK",5.0,16,53.47090799999999,-2.215269,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJP8sC4KjJe0gR3s0rTKjUdOE,DIGI Accountancy,"Sun House, 2-4 Little Peter St, Manchester M15 4PS, UK",4.9,59,53.4735426,-2.2512516,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJ40Fl4cOxe0gR9jXcynB4HWE,Alexander & Co,"Centurion House, 129 Deansgate, Manchester M3 3WR, UK",4.7,52,53.479667,-2.2484743,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJSYGJhduxe0gRAXnBWY0xLbU,Xeinadin,"100 Barbirolli Square, Manchester M2 3BD, UK",3.7,14,53.4757417,-2.2443015,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJOxOUv5UD2gQRRJV3BHPxuxI,Frwrd Accounting & Advice,"Elliot House, 151 Deansgate, Manchester M3 3WD, UK",5.0,11,53.4792426,-2.2487565,"accounting, establishment, finance, point_of_interest",M14 7HR
ChIJi07Nhzewe0gRXeBakANy8Tg,Ali & CO,"450 Cheetham Hill Rd, Cheetham Hill, Manchester M8 9LE, UK",4.8,18,53.5099466,-2.2433035,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJC83VQzmwe0gRVzrgqqEjWlo,SK Accountants,"86 Bury Old Rd, Cheetham Hill, Manchester M8 5BW, UK",5.0,481,53.5143091,-2.2466039,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJJTVQ97Wxe0gRz_2D1elWnTc,Azam & Co Chartered Accountants,"141 Cheetham Hill Rd, Moston, Manchester M8 8LY, UK",4.2,10,53.4946912,-2.2393416,"accounting, establishment, finance, point_of_interest",M8 8BW
ChIJB__BQRrUXK0RO2QGTYzvB10,Buraq Accounting Firm LTD,"100 Waterloo Rd, Cheetham Hill, Manchester M8 8AW, UK",5.0,18,53.4973351,-2.2483615,"accounting, establishment, finance, point_of_interest",M8 8BW
