name,company_number,address_line1,locality,postcode,sic_codes,search_city,search_sic,latitude,longitude
INCOME TO IMPACT ACCOUNTANCY LTD,14865877,3 St Anne's Place,Manchester,M34 5JB,"69201, 69202",Manchester,69201,53.472339,-2.147962
HOWARD PARK LIMITED,07276559,106-108 Reddish Lane,Manchester,M18 7JL,69201,Manchester,69201,53.455436,-2.159182
BRAEHEAD FINANCE LIMITED,06902727,C/O Social Money St Johns House,Manchester,WA14 1JY,69201,Manchester,69201,53.390356,-2.346819
TOPPING PARTNERSHIP (ACCOUNTANTS) LIMITED,11359154,Incom House Waterside,Manchester,M17 1WD,69201,Manchester,69201,53.466642,-2.293319
COTAX PROFESSIONALS LIMITED,12108136,Regus 4th Floor Centenary House,Manchester,M50 1RF,69201,Manchester,69201,53.481737,-2.32677
ORACLE ACCOUNTANTS LIMITED,04919964,"3 Arundale Avenue, Chorlton",Lancashire,M16 8LS,69201,Manchester,69201,53.444044,-2.254712
BASS ACCOUNTANTS LIMITED,13613260,67 Windsor Road,Manchester,M25 0DB,69201,Manchester,69201,53.524987,-2.253295
FISCALFRAME ACCOUNTING SERVICES LTD,15803904,Bartle House,Manchester,M2 3WQ,69201,Manchester,69201,53.476469,-2.243906
AMBIENT ACCOUNTING LTD,11072379,Suite 6 Ellesmere House 1 Pennington Street,Manchester,M28 3LR,"69201, 69202",Manchester,69201,53.522935,-2.391115
AAA & CO ACCOUNTANTS LTD,10798769,39 Aspinall Street,Manchester,M14 5UD,"69201, 69202, 69203",Manchester,69201,53.454709,-2.225214
ACCOUNTANCY SERVICES 4 BUSINESS LTD,07703458,198 Liverpool Road,Manchester,M44 5DB,69201,Manchester,69201,53.423731,-2.439487
COMMUNITY ACCOUNTANCY SERVICE LIMITED,02570992,"The Grange, Pilgrim Drive",Manchester,M11 3TQ,69201,Manchester,69201,53.479687,-2.200664
CHADWICK & COMPANY (MANCHESTER) LIMITED,04351426,"Capital House, 272 Manchester",Manchester,M43 6PW,69201,Manchester,69201,53.480214,-2.154484
HOLISTIC ACCOUNTING SOLUTIONS LIMITED,07692190,19 Ludlow Avenue,Manchester,M45 6TD,"69201, 69202",Manchester,69201,53.540039,-2.279264
VORA ASSOCIATES LTD,08226203,30 Pasturefield Road,Manchester,M22 5JU,69201,Manchester,69201,53.374198,-2.243667
ABACUS BUSINESS SERVICES LIMITED,04390147,45 Highmeadow,Manchester,M26 1YN,69201,Manchester,69201,53.550151,-2.335098
CGY GROUP LTD.,14975393,Enterprise House,Oldham,OL9 6HZ,"63110, 69201, 70221, 71129",Manchester,69201,53.537942,-2.128092
J. AHMED & CO LTD,07708893,68 Seymour Grove,Manchester,M16 0LN,"69201, 69202",Manchester,69201,53.459403,-2.27607
RAINY DAY PRODUCTIONS LIMITED,10890044,117 Rufford Drive Rufford Drive,Manchester,M45 8PD,"59112, 69201",Manchester,69201,53.556771,-2.288341
CALIBRA ACCOUNTANCY LTD,14996573,Unit C,Manchester,M12 6AE,69201,Manchester,69201,53.47621,-2.219903
FAIR VIEW ACCOUNTING & TAX SERVICES LTD,12054568,Initial Business Centre,Manchester,M40 8WN,"69201, 69202",Manchester,69201,53.499615,-2.205552
KBM ACCOUNTING SERVICES LIMITED,11042733,3 Denton Terrace 34 Denton Road,Manchester,M34 5AY,69201,Manchester,69201,53.466047,-2.116338
BURAQ ACCOUNTING FIRM LTD,09818218,"1st Floor, 100 Waterloo Road, Cheetham Hill",Manchester,M8 8AW,69201,Manchester,69201,53.497151,-2.248456
A PHILLIPS & CO. LTD,03272542,C/O A Phillips & Co,Newton Heath,M40 8WN,69201,Manchester,69201,53.499615,-2.205552
UTILITY REFUND LTD,14982929,12 Wexford Walk,Manchester,M22 5GN,69201,Manchester,69201,53.376772,-2.255301
SEDULO LIVERPOOL LIMITED,11458829,62-66 Deansgate,Manchester,M3 2EN,69201,Manchester,69201,53.483016,-2.246821
MONAP LIMITED,11492397,14 Orient Street,Salford,M7 4TB,"46450, 69201",Manchester,69201,53.507702,-2.249181
HAW MCR LTD,15905523,74 Scholes Lane,Manchester,M25 0AQ,69201,Manchester,69201,53.524585,-2.268724
QZ ACCOUNTANTS LIMITED,11697023,145a Dickenson Road,Manchester,M14 5HZ,69201,Manchester,69201,53.453733,-2.213192
ABC ACCOUNTING & CONSULTANCY LIMITED,13216736,28 Meadowgate,Manchester,M28 2RB,69201,Manchester,69201,53.512428,-2.382664
AKS ACCOUNTANCY SERVICES MANCHESTER LIMITED,11779293,Flat 3 19 Westminster Road,Manchester,M30 9EB,69201,Manchester,69201,53.491125,-2.338176
HB ACCOUNTANCY  PLUS  LIMITED,05298943,2 Conway Close,Manchester,M16 0GJ,69201,Manchester,69201,53.451942,-2.279786
CHESHIRE BOOK-KEEPING & ACCOUNTANCY SERVICES LTD,11263951,C/O Tariq Khan & Co 60 Birch Hall Lane,Manchester,M13 0XL,"69201, 69202",Manchester,69201,53.453502,-2.206851
HALLIDAY FOORD LIMITED,09061332,17 Victoria Road Northenden,Manchester,M22 4JP,69201,Manchester,69201,53.405847,-2.260757
BROADTHUNDER ACCOUNTING LIMITED,07770313,164 Walkden Road,Manchester,M28 7DP,69201,Manchester,69201,53.519034,-2.396418
LANCASHIRE BUSINESS SERVICES LIMITED,10898342,28-30 Wilbraham Road,Manchester,M14 7DW,69201,Manchester,69201,53.443728,-2.228558
PARKERS ACCOUNTANTS LIMITED,09912678,28-30 Wilbraham Road,Manchester,M14 7DW,69201,Manchester,69201,53.443728,-2.228558
