name,company_number,address_line1,locality,postcode,sic_codes,search_city,search_sic,latitude,longitude
SHASAT (UK) LTD,06267070,71-75 Shelton Street,London,WC2H 9JQ,"69201, 74909",London,69201,51.514897,-0.123615
MIDAS FINANCIALS LTD,09370216,20-22 Wenlock Road,London,N1 7GU,"69201, 69202, 69203",London,69201,51.530737,-0.09371
ALBERT SQUARE CONSULTING LTD,07400941,6 Apartment 502,London,SE5 0AX,"69201, 90030",London,69201,51.474976,-0.093905
INSPIRED STRATEGIES (UK) LIMITED,16180996,27 Old Gloucester Street,London,WC1N 3AX,"69201, 70229",London,69201,51.520593,-0.122185
INTERNATIONAL CORPORATE ADVISORS UK LTD,16184775,"3rd Floor, 86-90 Paul Street",London,EC2A 4NE,"69201, 69202, 69203, 70229",London,69201,51.525617,-0.083602
MAJAINAH SADRA LIMITED,04606068,2 Martin House,London,W14 9NL,"69201, 69203",London,69201,51.490029,-0.206183
RMR ACCOUNTANTS LTD,12414083,128 City Road,London,EC1V 2NX,"69201, 69202, 69203",London,69201,51.527304,-0.088894
KUSHI'S PROSPERITY LTD,16221306,5 Kestrel Close,London,NW9 5DJ,"69201, 69202",London,69201,51.599085,-0.251096
FISCAL HUB LTD,08992585,20 Wenlock Road,London,N1 7GU,"69201, 69203",London,69201,51.530737,-0.09371
ADDED VALUE ACCOUNTANCY LTD,11304602,27 Old Gloucester Street,London,WC1N 3AX,69201,London,69201,51.520593,-0.122185
MORE GROUP (ACCOUNTING) LIMITED,08282882,1 Giltspur Street,London,EC1A 9DD,69201,London,69201,51.517403,-0.101647
TEN FORWARD ACCOUNTING LTD,13282816,"Suite 2a, 7th Floor, City Reach",London,E14 9NN,"69201, 69202, 69203, 70221",London,69201,51.494694,-0.018342
ASCHOUKA ACCOUNTING & TAXATION SERVICES LTD,13823079,Flat 4 Alpika Court,London,SE18 1NT,"69201, 69202",London,69201,51.484753,0.096167
MARI ASSOCIATES LTD,08483355,27 Old Gloucester Street,London,WC1N 3AX,69201,London,69201,51.520593,-0.122185
ACCOUNTING TANG LIMITED,06215608,8 Farm Avenue,,SW16 2UT,69201,London,69201,51.430874,-0.126196
TNS SOLUTIONS LTD,13339750,20-22 Wenlock Road,London,N1 7GU,"63110, 69201, 69202, 70229",London,69201,51.530737,-0.09371
WAYYIQRA LTD,11919997,"Office 9, Dalton House",London,SW19 2RR,"69201, 69202, 70221, 96040",London,69201,51.410901,-0.185051
DNS FINANCIAL CONSULTANTS LTD,14057193,16 Queensborough Terrace,London,W2 3SS,"62090, 69201, 69202, 69203",London,69201,51.512584,-0.185798
RADEUS 132 LIMITED,08490822,13 White Lodge,London,SE19 3HR,69201,London,69201,51.41734,-0.103839
RIVIA SOLUTION LIMITED,08486632,419 Roman Road,London,E3 5QS,"69201, 69202",London,69201,51.531766,-0.036787
NMS ACCOUNTANCY LTD,13371489,141 Chestnut Rise,London,SE18 1RN,"69201, 69202",London,69201,51.482067,0.086898
MLE ASSISTANCE LTD,14075909,Flat 1 Fairmead House,London,E9 5QL,"69201, 69202",London,69201,51.552489,-0.034322
ADAM & ROGER LIMITED,09503501,183 Edgware Road,London,NW9 6LP,69201,London,69201,51.587178,-0.251597
L & P ACCOUNTANTS LTD,09530774,73 Kentish Town Road,London,NW1 8NY,"69201, 69202, 69203",London,69201,51.5433,-0.141974
CIPOC ACCOUNTING SERVICES LIMITED,15427301,"C/O Nice Accounting, 2/F Rear",London,W1D 5QA,69201,London,69201,51.511732,-0.130937
BE PRECIS LTD,07233546,71-75 Shelton Street,London,WC2H 9JQ,69201,London,69201,51.514897,-0.123615
THIRTEEN ACCOUNTING AND MANAGEMENT SERVICES LTD,14024618,25 Gordon Road,London,E18 1DW,"69201, 69202, 69203",London,69201,51.597515,0.035324
YOUR LOCAL ACCOUNTANTS LTD,06552056,5 Chigwell Road,London,E18 1LR,69201,London,69201,51.589915,0.031708
ISIK GROUP LIMITED,12846750,Ashley House Office 304 235-239 High Road,London,N22 8HF,"69201, 69202",London,69201,51.598147,-0.111061
A&K ACCOUNTING SOLUTIONS LTD,14721993,389c High Road Leyton,London,E10 5NA,"69201, 69202, 69203",London,69201,51.561003,-0.010179
PORTH ACCOUNTING LTD,14021528,128 City Road,London,EC1V 2NX,"69201, 69202",London,69201,51.527304,-0.088894
ELSWAYS CONSULTANCY LIMITED,09527149,10 Gamuel Close Colchester Road,London,E17 8NR,"69201, 69202, 69203",London,69201,51.574796,-0.023893
VQUBE ASSOCIATES LIMITED,14028112,10 Silver Fern Court,Rainham,RM13 8YJ,"62012, 69201",London,69201,51.522276,0.186561
ADD INSIGHT LIMITED,14827122,20-22 Wenlock Road,London,N1 7GU,"62020, 69201",London,69201,51.530737,-0.09371
BUROOJ ACCOUNTANTS LTD,16194136,71-75 Shelton Street,London,WC2H 9JQ,"69201, 69202",London,69201,51.514897,-0.123615
NOBLE FINANCES LTD,13127364,Flat 12 Lippa Court,London,N16 5GZ,"69201, 69202",London,69201,51.567661,-0.073394
N&D CONSULTING LIMITED,09626705,Flat 3 2 Thorney Hedge Road,London,W4 5SD,69201,London,69201,51.493765,-0.277836
JUPITER ACCOUNTING UK LIMITED,15398741,318 Old Street,London,EC1V 9DR,"69201, 69202",London,69201,51.5266,-0.081586
FMA CLOUD LIMITED,16199224,86-90 Paul Street,London,EC2A 4NE,69201,London,69201,51.525617,-0.083602
PATH TO LEADERS LTD,14689253,86-90 Paul Street,London,EC2A 4NE,"69201, 70229, 82990, 98000",London,69201,51.525617,-0.083602
KI 3145 1892 LIMITED,15443932,Flat 2 8 Arkwright Road,London,NW3 6AE,69201,London,69201,51.553049,-0.178172
ONSHORE ADVISORS UK LIMITED,15379895,167-169 Great Portland Street,London,W1W 5PF,69201,London,69201,51.521673,-0.143705
TAX 4 PROS LTD,15387820,20 Wenlock Road,London,N1 7GU,69201,London,69201,51.530737,-0.09371
RLM  ACCOUNTANTS   LIMITED,05697265,84  Crantock  Road,,SE6 2QP,69201,London,69201,51.436705,-0.013932
M&N ACCOUNTANTS LTD,15272298,124 City Road,London,EC1V 2NX,69201,London,69201,51.527304,-0.088894
ENDYMION SERVICES LIMITED,11312859,135 Covington Way,London,SW16 3JT,"59112, 69201",London,69201,51.416338,-0.113099
HS EDUCATIONS LIMITED,13326626,271 Old Kent Road,London,SE1 5LU,"69201, 85590",London,69201,51.489632,-0.078918
GREENER FINANCE LIMITED,12573851,84 Bellingham Road,London,SE6 2PT,69201,London,69201,51.433555,-0.014846
GROUP SHARP SOLUTIONS LIMITED,13175087,"Office Suite 29a 3/F, 23 Wharf Street",London,SE8 3GG,"47910, 69201, 69202, 96090",London,69201,51.485064,-0.02429
ACCOUNTING & TAXATION TOO ASSOCIATE LTD,07592440,210 Old Brompton Road,London,SW5 0BS,69201,London,69201,51.49008,-0.188406
CREATORCOUNTS LIMITED,16190150,7 Bell Yard,London,WC2A 2JR,"69201, 69203, 70229",London,69201,51.514455,-0.111772
OPTIPOINT CONSULTING LTD.,11332124,85 Great Portland Street,London,W1W 7LT,"69201, 69202, 69203, 70229",London,69201,51.518469,-0.14238
PINNACLE ACCOUNTING LIMITED,16191873,42 Fowlers Walk,London,W5 1BG,69201,London,69201,51.52733,-0.304133
JABBALS CONSULTANTS LTD,12560242,20-22 Wenlock Road,London,N1 7GU,"69201, 69202, 96090",London,69201,51.530737,-0.09371
M.AFOLABI & CO LTD.,08507114,46 Roden Street,London,N7 6QL,69201,London,69201,51.558386,-0.11581
187 ACCOUNTANTS LTD,16191411,128 City Road,London,EC1V 2NX,69201,London,69201,51.527304,-0.088894
BRIGHT BALANCE LIMITED,14812308,20-22 Wenlock Road,London,N1 7GU,"69201, 69202, 74202",London,69201,51.530737,-0.09371
SMARTAH ACCOUNTING CONSULTANTS LTD,12382708,29 Keogh Road,London,E15 4NR,"69201, 69203, 70229",London,69201,51.546171,0.009005
ACCOUNTS AND LEGAL CONSULTANTS LTD,08356292,"A And L, Suite 1-3 Hop Exchange",London,SE1 1TY,69201,London,69201,51.504933,-0.091286
ADVENSYS CONSEIL LTD,07464304,20 Wenlock Road,London,N1 7GU,"62020, 69201",London,69201,51.530737,-0.09371
TAYLORS CONSULTANTS LIMITED,04740618,79 Laurel Way,London,N20 8HT,"69201, 70229",London,69201,51.624558,-0.19162
COLLAB ACCOUNTING U.K. LTD,15750712,128 City Road,London,EC1V 2NX,"69201, 69202, 69203",London,69201,51.527304,-0.088894
FINANCEMATE LIMITED,15391657,26 Young Road,London,E16 3RR,"62020, 69201, 69202, 69203",London,69201,51.514378,0.034745
GN ACCOUNTING LIMITED,10111304,25 The Woodlands,London,N14 5RL,69201,London,69201,51.632202,-0.138126
BALHAM ACCOUNTANCY PRACTICE LIMITED,15359221,77 Penrose Court 20 Boundaries Road,London,SW12 8BY,69201,London,69201,51.44342,-0.156866
CAPITAL ACCOUNTING SOLUTIONS LTD,06756177,1st Floor 277-279 Bethnal Green Road,London,E2 6AH,69201,London,69201,51.526554,-0.065124
MOORE INTELLIGENT FINANCE LIMITED,10460087,6th Floor 9 Appold Street,London,EC2A 2AP,69201,London,69201,51.521691,-0.081634
TAX AZ LTD,15465171,20 Wenlock Road,London,N1 7GU,"69201, 69202",London,69201,51.530737,-0.09371
MPATHY LIMITED,08216512,53 Bishopsthorpe Road,London,SE26 4PA,69201,London,69201,51.428573,-0.048048
SOUTH EAST ACCOUNTANTS LIMITED,07197785,21 Coldharbour Lane,London,SE5 9NR,69201,London,69201,51.470585,-0.093742
CITRUS GROUP (U.K) LIMITED,13683131,"Suite 2a, 7th Floor City Reach",London,E14 9NN,69201,London,69201,51.494694,-0.018342
INTL CERTIFICATION LIMITED,14748453,71-75 Shelton Street,London,WC2H 9JQ,"69201, 70229, 71129, 74909",London,69201,51.514897,-0.123615
BARNES ROFFE AUDIT LIMITED,16229222,Leytonstone House 3 Hanbury Drive,London,E11 1GA,69201,London,69201,51.571508,0.015028
MERAYA ACCOUNTS LTD,15451552,27 Old Gloucester Street,London,WC1N 3AX,"69201, 69202",London,69201,51.520593,-0.122185
H&D ASSOCIATES LIMITED,12037084,Kemp House,London,EC1V 2NX,69201,London,69201,51.527304,-0.088894
GOCAPITA LTD,16236056,71-75 Shelton Street,London,WC2H 9JQ,69201,London,69201,51.514897,-0.123615
MO ACCOUNTS LIMITED,16238193,123 Neville Road,London,E7 9QS,"69201, 69203, 70221, 70229",London,69201,51.538238,0.027878
ONSIDE ACCOUNTING LIMITED,13428300,86-90 Paul Street,London,EC2A 4NE,"69201, 69202, 69203",London,69201,51.525617,-0.083602
HAINES WATTS SOUTH WEST INVESTMENTS LIMITED,07661644,55a Neal Street,London,WC2H 9PJ,69201,London,69201,51.514744,-0.126403
ENHANCED FINANCIALS LIMITED,06525607,"Office 11227, 182-184 High Street North",London,E6 2JA,69201,London,69201,51.538987,0.051517
MONTAGU & CO. LTD,11095730,174 Bounces Road,London,N9 8LA,"69201, 69202, 69203",London,69201,51.627808,-0.047643
ACCOUNTANTS AND BOOKKEEPERS LTD,04366917,27 Old Gloucester Street,London,WC1N 3AX,69201,London,69201,51.520593,-0.122185
OBI 1 ACCOUNTING LIMITED,11329943,49 Epping Way,London,E4 7PG,69201,London,69201,51.638437,-0.00698
LANTERN FINANCIAL SERVICES LIMITED,09411752,1 Princes Avenue,London,W3 8LZ,69201,London,69201,51.497901,-0.281512
ADEZA CONSULTING LTD,12051640,122 Sandhurst Road,London,NW9 9LN,69201,London,69201,51.593418,-0.28081
ADRIAN & CO LIMITED,08127687,1417/1419 London Road,London,SW16 4AH,"69201, 69202, 69203",London,69201,51.408898,-0.122378
STUART HARRIS ASSOCIATES LIMITED,07072131,Woodside House 22 Guildown Avenue,London,N12 7DQ,"69201, 69202, 69203",London,69201,51.62083,-0.186626
LONDON TAX SOLUTIONS LTD,16235175,"Suite 310e East Wing, Sterling House",Loughton,IG10 3TS,"69201, 69202, 69203, 82990",London,69201,51.644945,0.086896
BOROKHOVYCH CONSULTING SOLUTIONS LIMITED,15441918,Borokhovych Consulting Solutions,London,EC2A 4NE,"69201, 70229, 71122, 73200",London,69201,51.525617,-0.083602
FUTUREBOOKKEEPING LIMITED,16231513,17a Electric Lane,London,SW9 8LA,"69201, 69202",London,69201,51.461767,-0.114034
WISE OFFICE SOLUTIONS LIMITED,15477279,1st Floor 124 Cleveland Street,London,W1T 6PG,"69201, 70229",London,69201,51.523334,-0.141821
CHIPATS PAYMENT CR LTD,12792575,128 City Road,London,EC1V 2NX,"69201, 69203, 70221",London,69201,51.527304,-0.088894
KROGH & PARTNERS LIMITED,02349266,823 Salisbury House,London,EC2M 5QQ,69201,London,69201,51.517228,-0.087572
CURTIS HARRIS LLC UK LTD,13960732,20-22 Wenlock Road,London,N1 7GU,"69201, 82990",London,69201,51.530737,-0.09371
WISE WAVE ACCOUNTING LTD,15292879,"197, Grantham Road, London, England",London,E12 5NB,"69201, 69202",London,69201,51.550787,0.065275
GROWBE ACCOUNTS LTD,12425246,27 Old Gloucester Street,London,WC1N 3AX,"69201, 69202, 69203",London,69201,51.520593,-0.122185
INDIGO UK SERVICES LIMITED,10864727,411 Westmount Road,London,SE9 1NB,"69201, 69202, 69203, 96090",London,69201,51.466925,0.053711
PRAS ACCOUNTANCY SERVICES LIMITED,16189856,71-75 Shelton Street,London,WC2H 9JQ,69201,London,69201,51.514897,-0.123615
C K WALLACE LIMITED,11239594,Office 2.16 Bromley Old Town Hall,Bromley,BR1 3FE,"69201, 82990",London,69201,51.406825,0.018016
BARNES ROFFE PROBATE LIMITED,16262555,Leytonstone House,London,E11 1GA,69201,London,69201,51.571508,0.015028
CLOUD TAX CONSULTANTS LTD,16260216,First Floor,London,E1 4UN,"69201, 69203",London,69201,51.520379,-0.051735
FINXPERT HUB LTD,16260875,71-75 Shelton Street,London,WC2H 9JQ,"69201, 69202, 69203, 70221",London,69201,51.514897,-0.123615
BROADWEST SERVICES LTD,11755017,18 Lynmouth Road,London,N16 6XL,69201,London,69201,51.567737,-0.070909
JEFFREYS GLASS ACCOUNTANTS LIMITED,13308076,124 City Road,London,EC1V 2NX,69201,London,69201,51.527304,-0.088894
ANGEVA ACCOUNTANCY LIMITED,15496676,128 City Road,London,EC1V 2NX,"69201, 69202, 69203, 70221",London,69201,51.527304,-0.088894
ALTM LIMITED,15370505,2 Madeira Road,London,SW16 2DF,69201,London,69201,51.427595,-0.125266
AMT JOJO’S LTD,13870888,85 Great Portland Street,London,W1W 7LT,"69201, 69202",London,69201,51.518469,-0.14238
GURNAH CONSULTANCY LIMITED,13222367,35 Tithe Walk,London,NW7 2PY,69201,London,69201,51.604555,-0.236806
PROSPER ACCOUNTANTS LTD,09575286,Kemp House,London,EC1V 2NX,69201,London,69201,51.527304,-0.088894
TITAN TAX ACCOUNTANTS LTD,16276125,40 Westmere Drive,London,NW7 3HE,"69201, 69202",London,69201,51.625034,-0.257584
VIZTEC (UK) LIMITED,05338030,197 Prince Of Wales Road,London,NW5 3QB,"63110, 69201, 69202",London,69201,51.545603,-0.154514
V SUMNER LTD,15512960,Flat 1 7 Rainbow Quay,London,SE16 7UF,69201,London,69201,51.494785,-0.034992
RUSSELL GRENVILLE BARKER LIMITED,04675960,36 Lancaster Road,Wimbledon,SW19 5DD,"69201, 69202",London,69201,51.426279,-0.217958
VSOFT TECHNOLOGIES LTD,16258452,Suite 39 88-90 Hatton Garden,London,EC1N 8PN,"46510, 62020, 69201, 73110",London,69201,51.519473,-0.108437
TYMA FINANCIAL SERVICES LIMITED,10595791,101 Firhill Road,London,SE6 3SG,69201,London,69201,51.431461,-0.027165
TAXCUT LTD,09729770,124 City Road,London,EC1V 2NX,69201,London,69201,51.527304,-0.088894
ABBA FINANCIALS LIMITED,16257204,4 Buttermere Close,London,E15 2DN,69201,London,69201,51.553212,0.002709
FORVIS MAZARS SA LIMITED,07474131,102 Fulham Palace Road,London,W6 9PL,69201,London,69201,51.488432,-0.222941
AZETS CORPORATE FINANCE LIMITED,08912009,2nd Floor Regis House,London,EC4R 9AN,69201,London,69201,51.509975,-0.086709
VERTEX COMPLIANCE UK LTD,14644062,32 Wards Wharf Approach,London,E16 2EY,"69201, 70229",London,69201,51.501552,0.037977
TIGRA LIMITED,05810683,51 Pelton Road,London,SE10 9AH,69201,London,69201,51.486485,0.003758
QUEST360 FINANCIAL LTD,15347040,128 City Road,London,EC1V 2NX,"63110, 69201, 69202, 70229",London,69201,51.527304,-0.088894
HEKTES LIMITED,10671587,"Floor 2, 59 Courtfield Gardens",London,SW5 0NF,"62020, 69201, 70221",London,69201,51.493929,-0.186712
LEVEL BOOKS LTD,15620960,12 Barclay Road,London,SW6 1EH,69201,London,69201,51.47915,-0.197523
WALDINS LTD,16277526,16 Woodlands Close,London,NW11 9QP,69201,London,69201,51.584534,-0.209838
GALILEO ACCOUNTANCY LIMITED,10751223,167-169 Great Portland Street,London,W1W 5PF,"69201, 69202, 69203",London,69201,51.521673,-0.143705
FINNOVATIVE CONSULTING LIMITED,14639537,124 City Road,London,EC1V 2NX,"69201, 69202, 78300",London,69201,51.527304,-0.088894
ACE ACCOUNTING AND CONSULTING SERVICES LTD,16268429,71-75 Shelton Street,London,WC2H 9JQ,"69201, 69203",London,69201,51.514897,-0.123615
PYTHIAS NUMERICS LTD,11354152,Kemp House,London,EC1V 2NX,"62012, 69201, 69202, 71122",London,69201,51.527304,-0.088894
BAILEY WATTS LIMITED,07945649,28 Queens Grove Road,Chingford,E4 7BT,"69201, 69202, 69203",London,69201,51.630702,0.005252
TAXACCOUNT LIMITED,02606642,2 Village Way,London,SE21 7AW,69201,London,69201,51.452792,-0.091807
CBS VENTURE CORP LTD,16264343,"3rd Floor, 86-90 Paul Street",London,EC2A 4NE,69201,London,69201,51.525617,-0.083602
ACCOUNTING AND BOOKKEEPING ASSOCIATES LTD,16264760,27 Old Gloucester Street,London,WC1N 3AX,"69201, 69202, 69203",London,69201,51.520593,-0.122185
ASCENDANT INVESTMENTS LIMITED,15456438,3rd Floor 86-90 Paul Street,London,EC2A 4NE,69201,London,69201,51.525617,-0.083602
ATM ACCOUNTANTS LIMITED,05835833,21 Bourneside Crescent,London,N14 6SP,69201,London,69201,51.631969,-0.126865
CELADON FINANCIAL SERVICES LIMITED,16278365,"Suite  5754 Unit 3a, 34-35 Hatton Garden",London,EC1N 8DX,"69201, 70221",London,69201,51.52007,-0.10808
KAPOOK ACCOUNTANCY LIMITED,06809265,94 Caledonian Road,London,N1 9DN,"69201, 69202, 70229",London,69201,51.532954,-0.119095
GQC LTD,11344331,20-22 Wenlock Road,London,N1 7GU,"69201, 70221",London,69201,51.530737,-0.09371
ARITHMA ACCOUNTANTS LIMITED,11848732,"8th Floor, Becket House",London,EC2R 8DD,69201,London,69201,51.51387,-0.091172
AM ACCOUNTING SOLUTIONS LIMITED,13187558,94 Lancaster Road,London,N4 4PS,69201,London,69201,51.57373,-0.109778
TAXFLOWW LIMITED,16278261,Flat 215 Baquba Building Conington Road,London,SE13 7FF,69201,London,69201,51.467636,-0.014721
STRATFORD ACCOUNTANTS LIMITED,13105145,19 Tyas Road,London,E16 4JL,69201,London,69201,51.520142,0.011362
BB ACCOUNTANCY LIMITED,10310345,C/O 183 Angel Place,London,N18 2UD,"69201, 69202, 70229",London,69201,51.615152,-0.064798
CHARLES ACCOUNTANCY LIMITED,08511693,29 Greenford Gardens,Ealing,UB6 9LY,69201,London,69201,51.532495,-0.354894
FLOURISH PARTNERS LIMITED,12588334,128 City Road,London,EC1V 2NX,"47990, 68100, 69201, 70229",London,69201,51.527304,-0.088894
WAGNER ACCOUNTANTS LIMITED,08534860,71-75 Shelton Street,London,WC2H 9JQ,69201,London,69201,51.514897,-0.123615
HANAH CONSULTANCY LIMITED,16283308,85 Great Portland Street,London,W1W 7LT,"69201, 69203",London,69201,51.518469,-0.14238
ABP ACCOUNTING LTD,15506695,C J House 99a Cobbold Road,London,NW10 9SL,69201,London,69201,51.548541,-0.245853
THE ETHICAL BOOKKEEPER LTD,14002680,14 London Road,Cirencester,GL7 1AE,"69201, 69202",London,69201,51.717679,-1.958646
LAJ ACCOUNTING LTD,16283940,Flat 14 South Court,London,SW15 3HQ,69201,London,69201,51.453502,-0.21864
SAEED ABDULLAH & CO. LTD,15486741,347 Green Street,London,E13 9AR,"69201, 69202",London,69201,51.536501,0.035241
BEAR FINANCE CONSULTANCY LTD,15490606,9a Philbeach Gardens,London,SW5 9DY,"69201, 70221",London,69201,51.490266,-0.197589
MINERAL PAYROLL LTD,15402197,20 Wenlock Road,London,N1 7GU,69201,London,69201,51.530737,-0.09371
OFFICE ADDRESS LTD,09058742,51 Marloes Road,London,W8 6LA,"69201, 69202, 69203, 82110",London,69201,51.497061,-0.192667
MENZIES PAYROLL LIMITED,14839966,4th Floor 95 Gresham Street,London,EC2V 7AB,69201,London,69201,51.51508,-0.090948
T&W ACCOUNTING LTD,08742171,27 Old Gloucester Street,London,WC1N 3AX,"69201, 69202, 69203",London,69201,51.520593,-0.122185
BRIDGEHOUSE ACCOUNTING LTD,09451814,124 City Road,London,EC1V 2NX,"69201, 69202, 70229",London,69201,51.527304,-0.088894
WINGATE ACCOUNTANTS LIMITED,15494836,128 City Road,London,EC1V 2NX,"69201, 69202, 69203, 70229",London,69201,51.527304,-0.088894
MARCHANT LEWIS LIMITED,02499309,105a Caversham Avenue,London,N13 4LL,69201,London,69201,51.623585,-0.108213
TOFFEE APPLE CONSULTING LIMITED,15506197,20 Wenlock Road,London,N1 7GU,"69201, 70229",London,69201,51.530737,-0.09371
SOLENT ACCOUNTANCY SERVICES LIMITED,05752670,7 Bell Yard,London,WC2A 2JR,69201,London,69201,51.514455,-0.111772
FINTRAAD LTD,16298153,71-75 Shelton Street,London,WC2H 9JQ,"69201, 70229, 96090",London,69201,51.514897,-0.123615
LRK ACCOUNTANTS LTD,16300065,524a Romford Road,London,E7 8AF,69201,London,69201,51.54821,0.040364
HOMOTOPIC PROJECTS LIMITED,16300864,128 City Road,London,EC1V 2NX,"69201, 69202, 69203, 74909",London,69201,51.527304,-0.088894
SMARTER TRADING LIMITED,14433345,Dept 4936 126 East Ferry Road,London,E14 9FP,"69201, 69202",London,69201,51.496646,-0.014655
DIGITAL NOMADIC AUDIT & ACCOUNTING SERVICES LTD,16292976,"3rd Floor, 86-90 Paul Street",London,EC2A 4NE,69201,London,69201,51.525617,-0.083602
CW&G LIMITED,12705516,1 Sandwick Close,London,NW7 2AX,69201,London,69201,51.607388,-0.233866
SAGE ACCOUNTING AND TAX LTD,16278265,Sw6 1ny 419 B,London,SW6 1NY,"69201, 69202",London,69201,51.482224,-0.199749
MAGNUM ACCOUNTANCY LTD,13247945,85 Great Portland Street,London,W1W 7LT,69201,London,69201,51.518469,-0.14238
FINANCE WISE ACCOUNTING LTD,16148674,235 Regents Park Road,London,N3 3LF,"69201, 69202",London,69201,51.595546,-0.198981
WIZEOPS LIMITED,16292805,20 Wenlock Road,London,N1 7GU,"69201, 69202, 69203, 70229",London,69201,51.530737,-0.09371
TGH ACCOUNTING LIMITED,06190760,1079 Garratt Lane,London,SW17 0LN,69201,London,69201,51.428944,-0.169648
GLOBAL PRESTIGIOUS PROFESSIONALS LIMITED,09076465,70 Aveling Park Road,London,E17 4NT,"68209, 68320, 69201, 78200",London,69201,51.595687,-0.017616
BOODL ACCOUNTING LTD,15394531,136 Merton High Street,London,SW19 1BA,69201,London,69201,51.415969,-0.187741
COMPLEX ACCOUNTING LIMITED,06775181,9-11 New Broadway,London,W5 5AW,69201,London,69201,51.512844,-0.305464
MITCHELL ACCOUNTS CO LIMITED,16301802,167-169 Great Portland Street,London,W1W 5PF,"69201, 69202",London,69201,51.521673,-0.143705
TEELINE CONSULTANCY LIMITED,16306539,Flat 41 Harvard Court,London,NW6 1HL,"69201, 69202, 69203",London,69201,51.551267,-0.190865
KINGSBURY BOOKKEEPING SERVICES LTD,16309443,128 City Road,London,EC1V 2NX,"69201, 69202",London,69201,51.527304,-0.088894
BHUYIAN & CO LTD,15541194,Flat 9 Ellen Wilkinson House,London,E2 0QH,69201,London,69201,51.528983,-0.045644
SHORT AND SONS ACCOUNTANTS LTD,10815507,152 Centurion House London Road,Staines-Upon-Thames,TW18 4AX,69201,London,69201,51.4362,-0.501512
KANCELARIA PODATKOWA SEMPER LTD,15496567,27 Old Gloucester Street,London,WC1N 3AX,"69201, 69202, 69203, 82990",London,69201,51.520593,-0.122185
M&H BD LIMITED,16306686,6 Gibson Close,London,E1 4JT,"47820, 69201, 70229, 82990",London,69201,51.524536,-0.049698
AZETS SANDISONS LIMITED,05068291,2nd Floor Regis House,London,EC4R 9AN,"69201, 69203",London,69201,51.509975,-0.086709
WEAVER FINANCIAL LIMITED,07559718,Stapeley House London Road,Nantwich,CW5 7JW,69201,London,69201,53.051015,-2.492657
HYSONS AUDIT SERVICES LTD,14736388,14 London Street,Andover,SP10 2PA,69201,London,69201,51.206138,-1.478166
HOUSING ADVISOR HELP LTD,15552977,71-75 Shelton Street,London,WC2H 9JQ,"63120, 69201, 70210, 70229",London,69201,51.514897,-0.123615
A&B ACCOUNTANCY LIMITED,15413253,183 Angel Place Fore Street,Edmonton,N18 2UD,69201,London,69201,51.615152,-0.064798
CRONNER CONSULTING LIMITED,10668375,124 City Road,London,EC1V 2NX,"69201, 69202, 69203, 70229",London,69201,51.527304,-0.088894
BRAZEE LTD,07674466,19 Cleveland Park Avenue,London,E17 7BP,"69201, 69202, 69203, 82110",London,69201,51.585756,-0.021123
BATERDENE CONSULTING LTD,15833469,128 City Road,London,EC1V 2NX,"69201, 70229",London,69201,51.527304,-0.088894
KAREM SERVICES LTD,16318331,Flat B,London,E7 8LD,69201,London,69201,51.539694,0.031072
JUDICIOUS LTD,16319745,20 Wenlock Road,London,N1 7GU,"62030, 69201, 73110, 82990",London,69201,51.530737,-0.09371
CMJAC LIMITED,15597488,15 Hayes Crescent,London,NW11 0DG,69201,London,69201,51.58385,-0.200945
WICHWAY FINANCIALS LTD,16353080,85 Great Portland Street,London,W1W 7LT,"69201, 69202, 70221, 70229",London,69201,51.518469,-0.14238
BUSINESS DEVELOPMENT & SUPPORT SERVICES LIMITED,06565632,128 City Road,London,EC1V 2NX,69201,London,69201,51.527304,-0.088894
STANHOPE ROW LIMITED,15288983,85 Great Portland Street,London,W1W 7LT,69201,London,69201,51.518469,-0.14238
DRAGON ARGENT LIMITED,05156368,63 Bermondsey Street,London,SE1 3XF,"69102, 69201, 70229, 82110",London,69201,51.501525,-0.081919
FOREX ACCOUNTING LTD,15557121,Suite 4 Unimix House Abbey Road,London,NW10 7TR,"69201, 69202",London,69201,51.533537,-0.275282
FDS (NW) LTD,11435811,27 Old Gloucester Street,London,WC1N 3AX,"68320, 69201, 69203, 70221",London,69201,51.520593,-0.122185
DINES ACCOUNTANCY LIMITED,08160743,"Edinburgh House, 170 Kennington Lane",London,SE11 5DP,"69201, 69203",London,69201,51.487958,-0.112061
PREMIER BOOKS CONSULTANCY LTD,15198824,85 Great Portland Street,London,W1W 7LT,"69201, 69202, 73110",London,69201,51.518469,-0.14238
CRAUGHWELL & CO LTD,06234052,Brookwood House,London,SW18 5BY,"69201, 69203",London,69201,51.443398,-0.202413
SANMUGATHASAN LIMITED,07230077,23 Elm Walk,London,SW20 9ED,69201,London,69201,51.400553,-0.227556
ACCOUNTANCY SERVICES (SE) LIMITED,09095701,119 Hallywell Crescent Beckton,London,E6 5YE,69201,London,69201,51.516199,0.056648
ACCOUNTING SIMPLIFIED LTD,15556899,"Suite 4, Unimix House Abbey Road",London,NW10 7TR,"69201, 69202",London,69201,51.533537,-0.275282
A MAQBOOL & CO LIMITED,05584106,617 Romford Road,London,E12 5AD,69201,London,69201,51.55002,0.045407
