place_id,name,address,country,suburb,city,rating,reviews,longitude,latitude,postcode,outward_code,flag_hospitality,flag_construction,flag_healthcare,flag_media,flag_professional_services,flag_real_estate,place_id,Badge,claimed,specialisms,fees,client_type,focus_area,client_portal,accreditations,submitted_entry,firm_slug,city_slug,specalist_segments,bio,website
ChIJ31E2AQTHh0gR9vrPB1Nh_Gc,Bracey's Accountants Edinburgh,"112 George St, Edinburgh EH2 4LH, UK",GB,,Edinburgh,4.9,28,-3.20411,55.95214,EH2 4LH,EH2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJQ3QwHmDHh0gR8SZGNZ3i7pY,Anderson & Edwards,"11 Alva St, Edinburgh EH2 4PH, UK",GB,,Edinburgh,5,16,-3.21008,55.95033,EH2 4PH,EH2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,
ChIJOzsHn4XHh0gRs2MwtM_tMP4,Contractor Accounts Ltd,"23 Blair St, Edinburgh EH1 1QR, UK",GB,,Edinburgh,5,10,-3.18786,55.94916,EH1 1QR,EH1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJSVIQtHnGh0gR4wo1tyJo0cw,Crunchers Accountants Edinburgh,"50 Corstorphine Bank Dr, Corstorphine, Edinburgh EH12 8RN, UK",GB,Corstorphine,Edinburgh,5,12,-3.2893,55.94597,EH12 8RN,EH12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJOzUYVqLHh0gRaWkWEnkEMaQ,Shepherd and Wedderburn LLP,"9 Haymarket Square, Edinburgh EH3 8FY, UK",GB,,Edinburgh,4.4,25,-3.21608,55.94582,EH3 8FY,EH3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJtWx_eHvGh0gRmfruaN1IXsY,TaxAssist Accountants,"30 Glasgow Rd, Edinburgh EH12 8HL, UK",GB,,Edinburgh,4.8,120,-3.29535,55.94252,EH12 8HL,EH12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJ8aRX-wG5h0gRYU-TF25FFZk,Accountability Edinburgh,"The Stables Duddingston Village, Edinburgh EH15 3PZ, UK",GB,,Edinburgh,5,11,-3.14873,55.94238,EH15 3PZ,EH15,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,
ChIJ3cJyL165h0gR-mfiWTmoi7w,OnPoint Accounting,"Duddingston Yards, Duddingston Park S, Edinburgh EH15 3NT, UK",GB,,Edinburgh,4.8,33,-3.11561,55.93995,EH15 3NT,EH15,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,
ChIJbUC3RofHh0gR77GRQQF1pz8,Murshid & Co Chartered Accountants,"100 Gorgie Rd, Edinburgh EH11 2NP, UK",GB,,Edinburgh,5,25,-3.23026,55.93856,EH11 2NP,EH11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69dddec617601786fa360453_edinburgh.png,,,,,,,,,,,,,
ChIJCTzYUYG4h0gROAvEG7d4ha8,Helen Lowe Ltd,"17-21 E Mayfield, Edinburgh EH9 1SE, UK",GB,,Edinburgh,4.3,11,-3.16878,55.93484,EH9 1SE,EH9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
